datetime,temp,wind,sun,rain
2001-01-01,3.9,8.42595,2.4481015467796783,103.48107241670289
2001-02-01,4.8,8.70305,3.1253192939275354,77.79911744133366
2001-03-01,5.452066121176501,9.246,2.953299619843464,67.96874555963237
2001-04-01,7.806905589014343,8.893600000000003,4.744444856164671,64.00163637897447
2001-05-01,12.43850670413008,7.419399999999999,7.725524486993881,32.30199515584324
2001-06-01,13.984007021507184,8.439300000000001,6.8452113175308495,82.18136907631938
2001-07-01,16.7042857306235,7.650200000000001,6.3880907359193335,106.36733987357458
2001-08-01,16.736888115639452,6.9677,5.905760127889393,121.5032284493154
2001-09-01,14.05121,8.71105,4.048801527022668,88.03272454111153
2001-10-01,13.556113550626554,11.2948,3.582635963167069,188.06288327144077
2001-11-01,7.92176,8.78045,2.380912171790139,126.4414370906866
2001-12-01,4.105375429844236,8.2772,2.396143216253251,72.07841180984255
2002-01-01,6.093562607352854,11.11825,1.495514580698887,195.92479208835277
2002-02-01,7.243217056487189,13.8929,2.925442304686318,213.5749744151988
2002-03-01,7.627061855656021,9.94625,3.8042809140175353,110.50121581548817
2002-04-01,9.358657238794352,9.13895,6.6161194417739,86.60728356630248
2002-05-01,11.9220512976758,9.93955,6.155148614473483,101.2964195557069
2002-06-01,14.315691493927163,9.86575,5.7601374031040935,132.22921285958986
2002-07-01,15.892109769081785,7.02515,5.7006130841970455,98.59285878000205
2002-08-01,16.96986300610516,6.2940000000000005,5.50635920950626,95.36724016780964
2002-09-01,14.491534396664386,6.1717,5.43215677334408,58.04354578195737
2002-10-01,10.277474402338775,8.3624,3.0604489462815243,154.6741511251935
2002-11-01,8.793727604946035,9.477049999999998,1.974577619753348,150.60008730099474
2002-12-01,5.957724958999756,8.44475,1.15969713477542,55.370740132687175
2003-01-01,4.862237760640837,11.2141,2.3230012842852785,129.51019080756694
2003-02-01,4.455238089071853,8.853900000000001,3.623941010256153,51.88678662559872
2003-03-01,7.819064115320995,8.6739,5.454045718651865,77.25875657472217
2003-04-01,9.897535199260105,8.526800000000001,6.728072545635056,40.6065041241907
2003-05-01,12.085008518735432,9.986300000000002,6.390996309093335,131.09809778295093
2003-06-01,15.930809865954895,8.5761,7.1931231121518495,88.36049325687196
2003-07-01,17.4871134064861,8.5271,5.89014171278812,70.59008657318059
2003-08-01,18.01284247861333,7.0840000000000005,6.977436648198691,35.07889088582712
2003-09-01,14.34225351644522,7.171,6.0641745839266,83.09918219500989
2003-10-01,9.0,8.529900000000001,4.348424466175128,52.4959269478697
2003-11-01,8.360447757258841,10.0034,2.344859209321883,131.3974896743791
2003-12-01,5.032168468033167,9.0564,1.735241364517357,147.4664483528572
2004-01-01,5.486804311911124,10.217149999999998,1.684897276135668,189.0737003763685
2004-02-01,5.596745567245652,9.4232,2.9013596866902955,84.37609026262243
2004-03-01,6.64329045220306,9.64555,3.712269374701494,98.24529929842772
2004-04-01,9.550562864694378,9.31605,4.786703685295929,103.99213853523209
2004-05-01,12.102722346349978,6.8644,6.853932731834798,55.80618017407978
2004-06-01,15.308178055656622,8.7376,6.985119353984343,116.43244800366156
2004-07-01,15.699731189632072,7.616899999999999,5.576844649908932,69.14773119289724
2004-08-01,17.38761223710846,7.38885,5.733611134343063,186.3803714701983
2004-09-01,14.771869147380936,10.4124,5.443802185963545,170.14775387778127
2004-10-01,10.580584198569309,9.5502,3.2984699688424497,186.6562786140031
2004-11-01,8.021486276745652,8.311,1.634220929242692,86.68530796774176
2004-12-01,5.737384618532199,10.0375,1.767874095059207,196.2419325515911
2005-01-01,6.360477666268685,13.2239,1.975580281344731,209.59707635680644
2005-02-01,4.518914192008106,8.94205,2.56347038541698,95.43993671000904
2005-03-01,7.243518531530589,8.69105,2.637653051926669,96.2236571399106
2005-04-01,8.8338164239378,9.6816,5.096424981002245,99.78704317009228
2005-05-01,11.213354055451587,8.96985,7.180347400373888,94.59940695231714
2005-06-01,15.35154472424732,7.382349999999999,6.618902568589209,94.65763751853032
2005-07-01,16.608753940434863,7.266800000000001,5.802822955296718,41.13552100273513
2005-08-01,16.087634399226552,7.539900000000001,6.886339824460321,114.46166794086366
2005-09-01,15.028099838309531,9.1636,5.095545254528604,134.70860035608283
2005-10-01,13.02203252078072,9.4842,2.871876038276472,175.0083426087115
2005-11-01,6.439148571113364,8.64005,3.0825537571326995,127.87984274618752
2005-12-01,4.820907626372295,8.007200000000001,1.8677243129741528,89.3031976659695
2006-01-01,4.520840071120054,8.333499999999997,1.6900481926216049,107.52235123004172
2006-02-01,4.167857144223526,8.402,2.338342714014373,82.36004133441307
2006-03-01,4.958961485892884,9.5722,3.1662678531260884,105.1330317577634
2006-04-01,8.4927943692266,9.1654,5.574045969941977,91.3259402457714
2006-05-01,11.832312933973917,8.729,5.670979325282526,127.29894268029332
2006-06-01,15.750964898812144,7.307299999999998,7.960759234082888,65.87103855379895
2006-07-01,19.260521739130457,7.314400000000001,9.285922929238165,71.14085385372374
2006-08-01,16.177730375426627,8.0234,5.108250221387878,93.45262186142452
2006-09-01,16.399114260407455,8.3601,5.298548800178202,152.5221824857775
2006-10-01,12.777853492333891,9.0265,3.221354067891373,124.72587259665411
2006-11-01,8.077807250221042,12.107799999999996,3.253023115390851,261.7100040571387
2006-12-01,6.38577512776832,11.711,1.5619513905043507,309.351019258816
2007-01-01,6.916638225255969,13.5578,2.071889424349836,238.9654577369151
2007-02-01,6.049154134744527,8.732999999999999,2.513312381993265,116.36376010875377
2007-03-01,7.119779286926998,10.6468,4.967512743089451,128.82409859515457
